velocity, steering angle, bucket angle, bucket height,  scissor angle,  waiting time
0,        0,      -5,        0,        0,        3
0.05,     0,      -5,        0,        0,        10
0,        0,        0,      100,        0,        5
-0.05,    0,        0,      100,        0,        5
